Series ID,Year,Period,Label,Value
LNS16000000,2005,M01,2005 Jan,132635
LNS16000000,2005,M02,2005 Feb,132809
LNS16000000,2005,M03,2005 Mar,133016
LNS16000000,2005,M04,2005 Apr,133557
LNS16000000,2005,M05,2005 May,133720
LNS16000000,2005,M06,2005 Jun,134190
LNS16000000,2005,M07,2005 Jul,134649
LNS16000000,2005,M08,2005 Aug,135020
LNS16000000,2005,M09,2005 Sep,135101
LNS16000000,2005,M10,2005 Oct,135192
LNS16000000,2005,M11,2005 Nov,135169
LNS16000000,2005,M12,2005 Dec,135674
LNS16000000,2006,M01,2006 Jan,135704
LNS16000000,2006,M02,2006 Feb,135583
LNS16000000,2006,M03,2006 Mar,135772
LNS16000000,2006,M04,2006 Apr,135623
LNS16000000,2006,M05,2006 May,136370
LNS16000000,2006,M06,2006 Jun,136336
LNS16000000,2006,M07,2006 Jul,136721
LNS16000000,2006,M08,2006 Aug,137053
LNS16000000,2006,M09,2006 Sep,137391
LNS16000000,2006,M10,2006 Oct,137824
LNS16000000,2006,M11,2006 Nov,138020
LNS16000000,2006,M12,2006 Dec,138409
LNS16000000,2007,M01,2007 Jan,138549
LNS16000000,2007,M02,2007 Feb,138197
LNS16000000,2007,M03,2007 Mar,138497
LNS16000000,2007,M04,2007 Apr,138060
LNS16000000,2007,M05,2007 May,138417
LNS16000000,2007,M06,2007 Jun,138545
LNS16000000,2007,M07,2007 Jul,138640
LNS16000000,2007,M08,2007 Aug,138723
LNS16000000,2007,M09,2007 Sep,138999
LNS16000000,2007,M10,2007 Oct,138982
LNS16000000,2007,M11,2007 Nov,139552
LNS16000000,2007,M12,2007 Dec,139040
LNS16000000,2008,M01,2008 Jan,138886
LNS16000000,2008,M02,2008 Feb,138426
LNS16000000,2008,M03,2008 Mar,138627
LNS16000000,2008,M04,2008 Apr,138852
LNS16000000,2008,M05,2008 May,138375
LNS16000000,2008,M06,2008 Jun,138670
LNS16000000,2008,M07,2008 Jul,138317
LNS16000000,2008,M08,2008 Aug,138447
LNS16000000,2008,M09,2008 Sep,137952
LNS16000000,2008,M10,2008 Oct,138071
LNS16000000,2008,M11,2008 Nov,137146
LNS16000000,2008,M12,2008 Dec,136365
LNS16000000,2009,M01,2009 Jan,135398
LNS16000000,2009,M02,2009 Feb,134760
LNS16000000,2009,M03,2009 Mar,133900
LNS16000000,2009,M04,2009 Apr,133935
LNS16000000,2009,M05,2009 May,132954
LNS16000000,2009,M06,2009 Jun,132843
LNS16000000,2009,M07,2009 Jul,133083
LNS16000000,2009,M08,2009 Aug,132094
LNS16000000,2009,M09,2009 Sep,131539
LNS16000000,2009,M10,2009 Oct,131487
LNS16000000,2009,M11,2009 Nov,131460
LNS16000000,2009,M12,2009 Dec,130567
LNS16000000,2010,M01,2010 Jan,131255
LNS16000000,2010,M02,2010 Feb,130945
LNS16000000,2010,M03,2010 Mar,131491
LNS16000000,2010,M04,2010 Apr,132048
LNS16000000,2010,M05,2010 May,132149
LNS16000000,2010,M06,2010 Jun,132105
LNS16000000,2010,M07,2010 Jul,131855
LNS16000000,2010,M08,2010 Aug,132274
LNS16000000,2010,M09,2010 Sep,132119
LNS16000000,2010,M10,2010 Oct,131742
LNS16000000,2010,M11,2010 Nov,131830
LNS16000000,2010,M12,2010 Dec,132205
LNS16000000,2011,M01,2011 Jan,131744
LNS16000000,2011,M02,2011 Feb,131811
LNS16000000,2011,M03,2011 Mar,132286
LNS16000000,2011,M04,2011 Apr,132696
LNS16000000,2011,M05,2011 May,132606
LNS16000000,2011,M06,2011 Jun,132423
LNS16000000,2011,M07,2011 Jul,132439
LNS16000000,2011,M08,2011 Aug,132726
LNS16000000,2011,M09,2011 Sep,133517
LNS16000000,2011,M10,2011 Oct,133381
LNS16000000,2011,M11,2011 Nov,133895
LNS16000000,2011,M12,2011 Dec,134052
LNS16000000,2012,M01,2012 Jan,134669
LNS16000000,2012,M02,2012 Feb,135135
LNS16000000,2012,M03,2012 Mar,135120
LNS16000000,2012,M04,2012 Apr,134817
LNS16000000,2012,M05,2012 May,135154
